"","Lasso","Reg. Tree","Forest","Boosting","Neural Net","Ensemble","Best"
"1",1387.4537882699,1348.24353020062,1359.56329747397,1324.49642701718,1491.48273125498,1324.76719188255,1387.4537882699
"2",1354.41423516024,1353.82674334703,1290.9368563922,1305.52151686613,1446.74555780565,1290.51440643135,1354.41423516024
"3",1346.89827657036,1369.77368431686,1301.49421725629,1316.20893162519,1526.97147675234,1296.45401066614,1346.89827657036
"4",1344.93541176093,1329.02436191284,1313.78980709858,1316.54759096357,1525.91884830243,1304.9060753229,1344.93541176093
"5",1432.39775925714,1343.31537911512,1305.00042504845,1321.90853594684,1496.53445883747,1313.47535536873,1432.39775925714
"6",1321.19709499912,1405.74258741638,1285.86952176752,1333.34599521018,1710.58773914561,1354.83441699504,1321.19709499912
"7",1381.04025961712,1328.52173704621,1307.68709515422,1320.61397456118,1450.53765275445,1300.84606043974,1381.04025961712
"8",1289.90468587009,1357.80086644194,1246.15940609828,1316.59096795923,1456.19479679093,1278.55302499427,1289.90468587009
"9",1318.0604467187,1354.57233905947,1284.41165968315,1325.05050378168,1479.98869087446,1301.15988768098,1318.0604467187
"10",1385.3107628693,1408.9752741078,1276.22096883234,1360.70849572337,1459.01800019696,1326.71890256166,1385.3107628693
"11",1344.77672877533,1334.20488254909,1270.44307825491,1317.15201746114,1542.8898205067,1297.54354429952,1344.77672877533
"12",1344.00004453692,1400.35646416615,1298.90716984856,1332.67006858776,1458.1365649746,1312.77103826873,1344.00004453692
"13",1344.51322986065,1346.19595522007,1330.34115901887,1324.7104215572,1552.71820300793,1314.63674610907,1344.51322986065
"14",1349.67747751224,1374.93880144347,1294.93631194189,1332.91035284538,1588.72547751141,1323.18114744116,1349.67747751224
"15",1355.54223339131,1357.84905816023,1342.95999573882,1337.38403625583,1533.73945574595,1351.80766456451,1355.54223339131
"16",1330.76641533315,1387.15781888611,1323.53538197219,1326.237067066,1405.89565852396,1306.46811957645,1330.76641533315
"17",1414.06405410423,1318.502170167,1294.92106778667,1326.1815768181,1515.60668514433,1311.64116066411,1326.1815768181
"18",1333.20036236184,1339.40143510696,1328.91196334305,1320.24114103909,1529.23402589969,1304.33105194994,1333.20036236184
"19",1347.04089136941,1349.70087165285,1301.84133757042,1316.52582869847,1660.96261166022,1319.22695321005,1347.04089136941
"20",1365.74840757047,1330.9401442645,1321.73379989857,1326.5763094943,1434.43305695574,1301.57871577746,1365.74840757047
"21",1334.2357640837,1372.91078755048,1342.79124551683,1341.45646661741,1436.53852041161,1301.24703149713,1334.2357640837
"22",1375.3594667517,1358.23964572598,1288.64410709724,1346.74120536436,1447.90533431207,1321.96790945334,1375.3594667517
"23",1393.64683286241,1384.46808633971,1353.87629938988,1329.51278485574,1569.13532151592,1343.78195709817,1393.64683286241
"24",1326.95094210162,1349.41095646557,1327.61670194746,1314.40274620661,1543.35006666177,1318.59941524481,1326.95094210162
"25",1366.39750634729,1308.64218531855,1284.36202998534,1300.16180561236,1522.64981892908,1292.38067615112,1366.39750634729
"26",1365.97468699666,1322.57519054158,1324.30489268865,1315.67453856888,1529.49777663141,1310.57912372187,1365.97468699666
"27",1355.1305617511,1354.23044593007,1291.85578245804,1330.69324180631,1521.76058696028,1308.99240771498,1355.1305617511
"28",1333.01013430684,1373.78839771663,1289.91972225434,1330.26579852821,1644.77267959683,1339.2620264024,1333.01013430684
"29",1383.88873632689,1362.30825569501,1318.90276447507,1355.21946631442,1513.00168108158,1343.27842800679,1383.88873632689
"30",1330.9675778688,1367.26980336084,1278.97738232607,1324.81942651603,1603.95603095382,1305.8107604826,1330.9675778688
"31",1339.01630866117,1375.41460796964,1275.16129241051,1324.05375823246,1504.49022970866,1313.85113242809,1339.01630866117
"32",1320.74609219638,1332.1532815036,1313.38172935501,1314.90130446128,1390.65299327043,1288.05750610773,1320.74609219638
"33",1368.33153108572,1362.88508560444,1345.92951495718,1344.81663917721,1697.02558537811,1342.37194538714,1368.33153108572
"34",1342.72340031488,1343.9178794919,1306.36028823327,1331.62562283977,1526.57189651712,1317.84756051354,1342.72340031488
"35",1361.63724618914,1348.67831363109,1315.3798979554,1317.25682142299,1621.04333128788,1324.00911242188,1361.63724618914
"36",1325.96404311498,1337.71178039678,1271.48920736673,1316.0310124779,1372.3702837438,1284.43738508989,1325.96404311498
"37",1357.48321953163,1333.28023658321,1318.00300667919,1322.70722096227,1566.82452934935,1324.57447824506,1357.48321953163
"38",1377.93478391095,1301.76379665913,1299.18855972107,1306.41782215526,1391.84990858006,1283.01019515364,1377.93478391095
"39",1353.33227430281,1359.56632511122,1295.50184027306,1352.49600213341,1589.14536550681,1325.8115982282,1353.33227430281
"40",1461.37939696887,1373.5093567303,1304.36975632155,1353.36984942572,1525.34116265228,1316.69362726582,1461.37939696887
"41",1328.97755585682,1393.6881719767,1308.3314474492,1327.90115973467,1371.94693089986,1301.72298344357,1328.97755585682
"42",1357.17042249863,1375.39763181301,1330.64733155526,1332.44902395302,1475.81799687557,1316.96364812087,1357.17042249863
"43",1396.25238854478,1345.62433149176,1323.41850098515,1321.4559013608,1475.47308633327,1308.95737552409,1396.25238854478
"44",1322.04176301373,1372.25455493761,1282.64149450804,1306.24183689371,1331.05957098938,1281.1514809709,1322.04176301373
"45",1336.60938009474,1336.71552937725,1308.53371174532,1329.1526165433,1595.75316749911,1300.92902222819,1336.60938009474
"46",1332.64108786808,1335.90955608428,1267.60750225264,1318.42206920847,1472.65325614267,1288.33020361406,1332.64108786808
"47",1323.77030391484,1361.60318515903,1305.473466539,1315.9698419497,1683.32867334877,1326.7513129215,1323.77030391484
"48",1342.26741024794,1368.48866469687,1328.57689343766,1317.84194341485,1459.10994135477,1321.99010926019,1317.84194341485
"49",1339.42229078132,1377.0496412368,1297.7172902241,1327.8313075816,1479.05658201864,1301.2358976631,1339.42229078132
"50",1317.37089838407,1378.26365162378,1308.03268465388,1323.61235567403,1492.77496151381,1304.57985443116,1317.37089838407
"51",1335.11899562088,1336.85813034536,1292.1208602386,1319.81837202936,1547.16493392926,1301.11292270248,1335.11899562088
"52",1357.29988858078,1365.28985044553,1326.0363782083,1333.39386508831,1439.17197129296,1350.3435694248,1357.29988858078
"53",1359.65172736389,1356.2364829439,1297.24787839742,1345.38247565087,1853.42604275973,1338.49785653994,1359.65172736389
"54",1332.67252438028,1347.49050888178,1304.44427558881,1332.533769661,1403.19092154807,1300.41388843193,1332.67252438028
"55",1324.392818307,1352.97385352055,1294.16964123248,1320.05922013244,1377.96221523356,1285.1451983997,1324.392818307
"56",1358.33967805616,1381.86522841938,1319.37840629368,1345.18714728614,1498.35244905563,1335.05618465358,1358.33967805616
"57",1359.1560390542,1404.46135757401,1333.82400284358,1334.99469759548,1378.80453538767,1336.47670233724,1359.1560390542
"58",1337.04606733547,1382.70774908996,1297.35843577645,1328.31174537479,1605.45374502236,1328.68302636732,1337.04606733547
"59",1338.04312853909,1399.12528781802,1294.9287228988,1358.26107400605,1451.65749186012,1326.27216428439,1338.04312853909
