"","Lasso","Reg. Tree","Forest","Boosting","Neural Net","Ensemble","Best"
"1",9730.65828148044,9217.62872412018,9573.27071078489,9008.49511760595,9565.2359329361,9481.54235933108,9730.65828148044
"2",9666.08529626479,8981.81072493468,9017.69111622399,8929.600210147,9967.59735219997,9373.01400210204,9666.08529626479
"3",9731.19765934043,8668.69199772611,9221.79487684104,8956.34691463017,8833.33549838906,9160.1791938174,9731.19765934043
"4",9452.32867261361,8830.74764981416,8978.80052435741,8840.98228312608,8202.28452415877,9009.12090624879,9452.32867261361
"5",10051.2305770486,9050.55961981978,9004.68382202931,8881.3561474752,8129.7180564817,8965.79861517568,10051.2305770486
"6",9676.72433144837,9810.43358150318,9236.85528367944,9156.81308817459,8853.11115279641,9517.01079439106,9676.72433144837
"7",9782.54496648566,9163.92703184959,9225.95984082942,9208.67490421154,8821.00195917937,9336.41409278883,9782.54496648566
"8",9123.837366173,9155.8536966146,8720.08119996863,8836.90660253377,9883.70825399613,9217.51821530381,9123.837366173
"9",9340.10469060526,9754.0487871869,9276.52422691612,8841.12393013428,8354.12048627288,9176.6946270693,9340.10469060526
"10",9968.75848295657,9223.45331256882,9269.944019515,9126.46174362633,8071.64404063041,9249.78210668761,9968.75848295657
"11",9333.80660121759,8243.89370042075,9244.67989449313,8958.47147872802,10830.198459064,9386.79377940995,9333.80660121759
"12",9647.8864331917,9552.05828013897,9673.75720515762,9079.44540129766,8405.31107818524,9433.63520936813,9647.8864331917
"13",9658.43275436845,9442.44560808961,9936.74969320152,9193.28853964395,10658.0685890342,9915.94555099923,9658.43275436845
"14",9660.43408058491,8621.21017125379,8680.58809609664,8865.13703910931,9653.07188902957,9133.19050282139,9660.43408058491
"15",8803.12141695863,9375.46384448625,9249.50007315371,8820.0438364895,9411.80061979948,9205.2093969066,8803.12141695863
"16",9532.72570905462,8711.170552905,8798.50218978565,8903.76273961927,7758.67607836166,8850.02622338404,9532.72570905462
"17",10299.1811725591,9470.89226584834,9594.34713573846,9213.53858743712,9655.59405269204,9810.7423618091,9213.53858743712
"18",9704.61680770472,8814.09920109933,9304.91683451849,9078.17352918331,9105.23369611149,9324.28665851021,9704.61680770472
"19",9397.40313027714,9212.14180581993,9571.23829186409,9072.12194940997,8960.87533538138,9464.80783481362,9397.40313027714
"20",9868.69823769469,8805.96076918388,9268.09418904281,8819.36673768516,8227.18597660278,9137.22993090332,9868.69823769469
"21",9795.68774274725,9381.43456233091,9319.76449950693,8968.88868157341,10161.5247339141,9603.42091563049,9795.68774274725
"22",9722.21269463913,9100.21371480775,9325.68263093515,9004.64763251513,9787.90352262589,9460.52374088816,9722.21269463913
"23",9541.99483689059,8405.77138898336,9135.4252186487,9039.13116075164,9362.08559131511,9187.85804106987,9541.99483689059
"24",9738.47666989672,9481.61200716559,9767.34210999927,9215.48594274136,9875.19020931201,9705.05163689557,9738.47666989672
"25",9924.44152610903,9003.0461937652,9130.60753196927,9024.42819509898,9542.60751354061,9452.36856608843,9924.44152610903
"26",9955.68081569946,8811.21513193482,9005.64270854712,9123.82899878788,9280.49658781375,9339.07269398089,9955.68081569946
"27",10000.0624502496,9290.62943437443,9758.83082621107,9045.42920461131,10098.1998333906,9776.31526655805,10000.0624502496
"28",9278.56558927612,8913.90557473437,9170.04715141352,8856.41450907783,9131.6611981981,9276.15435459595,9278.56558927612
"29",9358.96823899705,8899.30701525544,9113.75878754115,8780.50788123971,8723.21157140248,8955.09466671347,9358.96823899705
"30",9492.23695897167,8841.13602737236,8857.06767882797,8968.79393212404,8712.17928636753,9105.88855357671,9492.23695897167
"31",9741.76657578095,9080.30640193889,9279.82573881189,9038.62758978865,9281.17143004186,9408.46683432161,9741.76657578095
"32",9526.89151588461,8769.24327319386,8720.80044408621,8949.24437744736,9208.65715729155,9094.32444402378,9526.89151588461
"33",9696.70522466973,8863.66369040337,9082.30202321069,8835.50356027194,9530.95720367514,9219.19516640853,9696.70522466973
"34",9405.60164870599,8622.73421286148,9161.92902531529,8945.6187125606,9903.67405024543,9369.93595852871,9405.60164870599
"35",9638.06703869506,8637.63049267372,8934.1996547821,8920.00981242354,10636.0946772911,9458.28614257153,9638.06703869506
"36",9445.31348468698,9096.14401201919,9175.94692393914,8956.65361417549,8727.7234807377,9164.94059578241,9445.31348468698
"37",9486.95076726752,9318.38159585047,9677.1558142702,8988.18806035513,9121.01671382773,9348.7429955603,9486.95076726752
"38",9928.87558876445,9264.8956423339,9200.59165757191,9047.11660843711,8808.63860590773,9339.03595301599,9928.87558876445
"39",9711.0011968344,8930.87110630073,9372.19762855391,9070.46960960526,11239.6524227818,9742.31493503568,9711.0011968344
"40",10663.3447789624,8533.51826761267,9403.6861568864,9178.16969224967,10044.7245874325,9677.01248524787,10663.3447789624
"41",9729.0242819529,9271.33710487543,9656.89880913637,9263.59535098671,10141.4627400517,9818.62953359644,9729.0242819529
"42",9772.99628462293,8236.87960488458,9302.36770391082,8947.84730351051,10351.6930534754,9311.19182932962,9772.99628462293
"43",10090.4524445668,9048.73360697076,9534.29459796331,8994.01907715859,9241.41738367375,9492.34617551216,10090.4524445668
"44",9514.51218357775,9377.65114076214,9063.47858826601,8947.56890661922,9104.7285342911,9251.00467931537,9514.51218357775
"45",9902.90002073616,9602.64142251984,9443.78019030044,9215.69689898289,8608.10357074785,9408.25315742886,9902.90002073616
"46",9385.38834177219,9412.14206120101,9349.23511968074,9046.22899963168,9315.49568761121,9389.35116280784,9385.38834177219
"47",9245.11309700869,9285.88286630835,9288.58134028531,8805.39689084226,7934.06241287208,9093.81679788716,9245.11309700869
"48",10008.0335425222,9514.26767061691,9283.05488678802,9147.67615604342,8336.43061078668,9328.41465311754,9147.67615604342
"49",9291.19780963637,9390.78100853343,9432.5769267971,9039.13398625444,9233.03582810585,9355.55037226014,9291.19780963637
"50",9118.84665285797,9733.74009240205,9180.21385341408,9008.90026150702,8387.56455124807,9190.78044719541,9118.84665285797
"51",9769.91005484519,8961.16185876288,9531.36633143223,8955.74476694854,9550.74049672631,9450.95066429487,9769.91005484519
"52",9676.09090060114,9152.55699661422,8864.5764460406,8881.53098730435,8844.43899988668,9006.41640282296,9676.09090060114
"53",9485.22726966412,8702.83490724142,9245.55352589707,8897.24271658425,7973.51399802026,8867.3591091952,9485.22726966412
"54",9791.47072098239,8776.71684490828,8807.70243042906,8899.31393698508,8574.70971394232,9100.68276321887,9791.47072098239
"55",9652.8343125999,9126.38373498667,9482.76708172047,9171.24617097231,10710.1321107616,9795.41937331346,9652.8343125999
"56",9720.10966169563,8583.61605394772,9349.66130404995,8865.39204242956,9019.38082070985,9222.14511703402,9720.10966169563
"57",9784.90135263498,9481.03705872083,9556.22529149711,9116.23293437412,10170.9050617587,9588.56987840158,9784.90135263498
"58",9667.73535287965,9195.4493930079,9013.12334652202,8835.42646732158,8070.67619660113,9047.02297449049,9667.73535287965
"59",9599.36616772461,8913.17476451076,9189.43645225273,8981.25526056384,9426.18296933514,9382.2053604977,9599.36616772461
"60",9850.08118512039,8887.63615974831,9063.76311479053,9044.86977570724,9085.1120510088,9255.3388521563,9850.08118512039
"61",9863.16573183082,9747.91889805393,9189.48899547635,9221.9394586333,10143.5480154178,9663.65063841619,9221.9394586333
"62",9883.53064220361,9619.4651885736,9497.47571428843,9032.31840150523,9941.07615446977,9706.13041187638,9883.53064220361
"63",10146.8880836487,8982.17669768774,9317.50734671755,9096.05346346175,9197.4848709835,9338.05746995954,10146.8880836487
"64",9499.01180367546,8505.47387210517,8714.20258039878,8864.02148492726,8701.13275285281,8899.09569629323,9499.01180367546
"65",9867.72379151908,9513.73584899861,9488.04115332482,9062.64015451642,9671.97375556938,9625.15312596048,9867.72379151908
"66",9570.67558450909,8650.67723804121,8851.97677363463,8941.19187233918,8355.31545698846,9013.2997296956,9570.67558450909
"67",9451.49336649507,8732.98139957695,9390.60720162418,8775.42000313895,8521.78170944538,9163.984070345,9451.49336649507
"68",9358.3838401809,9303.19835179014,9074.36455248732,9042.15966529917,9286.30141729266,9361.41961606944,9042.15966529917
"69",9732.25731662805,8851.18444481394,9614.8090638368,9021.33151216474,9776.79995106277,9507.30674457733,9732.25731662805
"70",9115.18208537588,8719.59343396358,9439.29323299448,8944.82763574909,8796.18922357133,9118.75909803092,9115.18208537588
"71",9926.91585778333,9241.05113546683,9195.9477292705,9091.09009697318,9067.77231763229,9397.88812320968,9926.91585778333
"72",10070.734352939,8484.95427060782,9428.19707363947,8936.95562363341,8308.1551443033,9205.25515434879,10070.734352939
"73",9617.72729962035,8395.97517737145,8881.52503237437,8806.17647064857,9887.65469942771,9330.66500803375,9617.72729962035
"74",9590.37868662811,8887.61724193606,9433.09187884979,9032.19463825908,9369.16009144812,9358.1965068012,9590.37868662811
"75",9770.08804320719,9555.59080506257,9330.23291360695,9048.72403549299,9695.96110669661,9522.90594134024,9770.08804320719
"76",10198.2370968871,9312.33438237745,9735.56888002931,9108.35965567113,9834.46920114191,9723.78417072587,10198.2370968871
